ID,Name,Type,Current Level (DOE),Agentic Potential (0-10),Business Impact (ROI),Complexity to Agentize,Upgrade Path
meta-leads-sync,"Sync Meta Leads → Shopify",script,Level 1,9,HIGH,Low (add reflection),UPGRADE TO LEVEL 3
google-ads-sync,"Sync Google Ads → Shopify",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
tiktok-leads-sync,"Sync TikTok Leads → Shopify",script,Level 1,9,HIGH,Low (add reflection),UPGRADE TO LEVEL 3
lead-scoring,"Qualification & Scoring",manual-process,Level 1,3,HIGH,Medium (platform limits),UPGRADE TO LEVEL 3
hot-warm-cold,"Segmentation HOT/WARM/COLD",klaviyo-segment,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
data-enrichment,"Enrichissement Données",apollo-integration,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
geo-segmentation,"Geo-Segmentation",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
google-forms-crm,"Google Forms → CRM",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
typeform-klaviyo,"Typeform → Klaviyo",manual-process,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
sourcing-google-maps,"Sourcing Google Maps",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
sourcing-linkedin,"Sourcing LinkedIn",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
veille-recrutement,"Veille Recrutement",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
alt-text-fix,"Correction Alt Text Images",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
auto-meta-tags,"Meta Tags Automatiques",shopify-flow,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
image-sitemap,"Sitemap Images",script,Level 1,9,MEDIUM,Low (add reflection),UPGRADE TO LEVEL 3
schema-products,"Schema.org Produits",shopify-theme,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
internal-linking,"Internal Linking",manual-process,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
llms-txt,"llms.txt (AEO)",manual-file,Level 1,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
welcome-series,"Welcome Series",klaviyo-flow,Level 2,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
abandoned-cart,"Abandoned Cart",klaviyo-flow,Level 2,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
browse-abandonment,"Browse Abandonment",klaviyo-flow,Level 2,3,MEDIUM,Medium (platform limits),UPGRADE TO LEVEL 3
